title,autor,artists,genre,artist_gender
The Tube,Tiësto,Tiësto,electronic,male
The Tube,Tiësto,Tiësto,trance,male
Sparkles,Tiësto,Tiësto,electronic,male
Sparkles,Tiësto,Tiësto,trance,male
Theme From Norefjell,Tiësto,Tiësto,electronic,male
Theme From Norefjell,Tiësto,Tiësto,trance,male
Wonder Where You Are? / Wonder?,Tiësto,Tiësto,electronic,male
Wonder Where You Are? / Wonder?,Tiësto,Tiësto,trance,male
Wonder Where You Are? / Wonder?,Tiësto,Armin van Buuren,electronic,male
Wonder Where You Are? / Wonder?,Tiësto,Armin van Buuren,trance,male
Wonder Where You Are? / Wonder?,Tiësto,Major League,electronic,unknown
Wonder Where You Are? / Wonder?,Tiësto,Major League,trance,unknown
Flight 643,Tiësto,Tiësto,electronic,male
Flight 643,Tiësto,Tiësto,trance,male
Urban Train,Tiësto,Tiësto,electronic,male
Urban Train,Tiësto,Tiësto,hard trance,male
Urban Train,Tiësto,Tiësto,progressive trance,male
Urban Train,Tiësto,Tiësto,trance,male
Suburban / Urban Train,Tiësto,Tiësto,electronic,male
Suburban / Urban Train,Tiësto,Tiësto,progressive house,male
Suburban / Urban Train,Tiësto,Tiësto,trance,male
Lethal Industry,Tiësto,Tiësto,electronic,male
Lethal Industry,Tiësto,Tiësto,trance,male
643 (Love’s on Fire),Tiësto,Tiësto,electronic,male
643 (Love’s on Fire),Tiësto,Tiësto,trance,male
643 (Love’s on Fire),Tiësto,Suzanne Palmer,electronic,female
643 (Love’s on Fire),Tiësto,Suzanne Palmer,trance,female
Obsession,Tiësto,Tiësto,electronic,male
Obsession,Tiësto,Tiësto,progressive trance,male
Obsession,Tiësto,Tiësto,techno,male
Obsession,Tiësto,Tiësto,trance,male
Obsession,Tiësto,Junkie XL,electronic,male
Obsession,Tiësto,Junkie XL,progressive trance,male
Obsession,Tiësto,Junkie XL,techno,male
Obsession,Tiësto,Junkie XL,trance,male
In My Memory,Tiësto,Tiësto,electronic,male
In My Memory,Tiësto,Tiësto,progressive trance,male
