source,target,weight,label
Afrojack,Afrojack,63,collaboration
Afrojack,Ally Brooke,1,collaboration
Afrojack,Azteck,1,collaboration
Afrojack,Bobby Burns,2,collaboration
Afrojack,Charli XCX,4,collaboration
Afrojack,Chico Rose,5,collaboration
Afrojack,D.O.D.,1,collaboration
Afrojack,David Guetta,10,collaboration
Afrojack,Dirtcaps,1,collaboration
Afrojack,DubVision,2,collaboration
Afrojack,Ester Dean,2,collaboration
Afrojack,Eva Simons,2,collaboration
Afrojack,French Montana,4,collaboration
Afrojack,Gia Koka,1,collaboration
Afrojack,Hawkboy,1,collaboration
Afrojack,Icona Pop,1,collaboration
Afrojack,Imanbek,1,collaboration
Afrojack,Jeremih,1,collaboration
Afrojack,Jewelz & Sparks,2,collaboration
Afrojack,Keane,1,collaboration
Afrojack,Laidback Luke,1,collaboration
Afrojack,Lucas & Steve,1,collaboration
Afrojack,Major Lazer,1,collaboration
Afrojack,Mike Taylor,1,collaboration
Afrojack,Miss Palmer,1,collaboration
Afrojack,Nayer,1,collaboration
Afrojack,Never Sleeps,1,collaboration
Afrojack,Ne‐Yo,1,collaboration
Afrojack,Nicki Minaj,1,collaboration
Afrojack,Niles Mason,1,collaboration
Afrojack,Oliver Rosa,1,collaboration
Afrojack,Pitbull,1,collaboration
Afrojack,Quintino,2,collaboration
Afrojack,R3HAB,2,collaboration
Afrojack,Shermanology,1,collaboration
Afrojack,Sia,1,collaboration
Afrojack,Snoop Dogg,1,collaboration
Afrojack,Spree Wilson,1,collaboration
Afrojack,Stanaj,1,collaboration
Afrojack,Steve Aoki,1,collaboration
Afrojack,Stush,1,collaboration
Afrojack,TIM-BER,1,collaboration
Afrojack,The Partysquad,1,collaboration
Afrojack,Thirty Seconds to Mars,1,collaboration
Afrojack,Timmy Trumpet,1,collaboration
Afrojack,Ty Dolla $ign,1,collaboration
Afrojack,Vassy,1,collaboration
Afrojack,Vybz Kartel,1,collaboration
Afrojack,Wrabel,2,collaboration
Afrojack,Yves V,1,collaboration
Angerfist,Angerfist,13,collaboration
Angerfist,DJ Outblast,1,collaboration
Angerfist,DJ Vince,1,collaboration
Angerfist,MC Nolz,1,collaboration
Angerfist,MC Tha Watcher,1,collaboration
Angerfist,Miss K8,1,collaboration
Angerfist,Predator,1,collaboration
Armin van Buuren,ARTY,1,collaboration
Armin van Buuren,Adam Young,1,collaboration
Armin van Buuren,Alesso,1,collaboration
Armin van Buuren,Alok,1,collaboration
Armin van Buuren,Ana Criado,3,collaboration
Armin van Buuren,Andreas Moe,2,collaboration
Armin van Buuren,Andrew Rayel,2,collaboration
Armin van Buuren,Armin van Buuren,116,collaboration
Armin van Buuren,Avalan,2,collaboration
Armin van Buuren,Blasterjaxx,1,collaboration
