source,target,weight,label
Afrojack,124 BPM,3,musical_genre
Afrojack,DANCE,55,musical_genre
Afrojack,DANCE AND HOUSE,3,musical_genre
Afrojack,DANCE-POP,17,musical_genre
Afrojack,DUTCH HOUSE,3,musical_genre
Afrojack,ELECTRO,19,musical_genre
Afrojack,ELECTRO HOUSE,24,musical_genre
Afrojack,ELECTRONIC,73,musical_genre
Afrojack,ELECTRONIC; POP,2,musical_genre
Afrojack,EURO HOUSE,6,musical_genre
Afrojack,HARD HOUSE,2,musical_genre
Afrojack,HARDSTYLE,2,musical_genre
Afrojack,HIP HOP,4,musical_genre
Afrojack,HOUSE,34,musical_genre
Afrojack,MINIMAL,3,musical_genre
Afrojack,POP,29,musical_genre
Afrojack,PROGRESSIVE HOUSE,16,musical_genre
Afrojack,RAP,2,musical_genre
Afrojack,TECH HOUSE,6,musical_genre
Afrojack,TODD IN THE SHADOWS,4,musical_genre
Afrojack,TRAP,3,musical_genre
Afrojack,V A,4,musical_genre
Afrojack,VOCAL,3,musical_genre
Angerfist,ELECTRONIC,20,musical_genre
Angerfist,GABBER,1,musical_genre
Armin van Buuren,ARMIN VAN BUUREN,2,musical_genre
Armin van Buuren,BALLAD,3,musical_genre
Armin van Buuren,BEST OF,2,musical_genre
Armin van Buuren,BIG ROOM HOUSE,5,musical_genre
Armin van Buuren,BIG ROOM TRANCE,4,musical_genre
Armin van Buuren,BREAKBEAT,3,musical_genre
Armin van Buuren,BREAKS,1,musical_genre
Armin van Buuren,CHRISTMAS,2,musical_genre
Armin van Buuren,DANCE,36,musical_genre
Armin van Buuren,DANCE-POP,9,musical_genre
Armin van Buuren,DEEP TECHNO,2,musical_genre
Armin van Buuren,DISCO,2,musical_genre
Armin van Buuren,DOWNTEMPO,6,musical_genre
Armin van Buuren,DUBSTEP,2,musical_genre
Armin van Buuren,ELECTRO,8,musical_genre
Armin van Buuren,ELECTRO HOUSE,7,musical_genre
Armin van Buuren,ELECTRONIC,146,musical_genre
Armin van Buuren,ELECTRONICA,2,musical_genre
Armin van Buuren,EURO HOUSE,4,musical_genre
Armin van Buuren,FUNK,2,musical_genre
Armin van Buuren,HARD TRANCE,2,musical_genre
Armin van Buuren,HARDSTYLE,2,musical_genre
Armin van Buuren,HOUSE,28,musical_genre
Armin van Buuren,MELODIC TRANCE,6,musical_genre
Armin van Buuren,POP,18,musical_genre
Armin van Buuren,PROGRESSIVE HOUSE,35,musical_genre
Armin van Buuren,PROGRESSIVE TRANCE,30,musical_genre
Armin van Buuren,SOUL,4,musical_genre
Armin van Buuren,SYMPHONIC TRANCE,2,musical_genre
Armin van Buuren,SYNTH-POP,2,musical_genre
Armin van Buuren,TECH HOUSE,2,musical_genre
Armin van Buuren,TECH TRANCE,8,musical_genre
Armin van Buuren,TRANCE,130,musical_genre
Armin van Buuren,TRAP EDM,1,musical_genre
Armin van Buuren,TRIBAL HOUSE,2,musical_genre
Armin van Buuren,UPLIFTING,2,musical_genre
Armin van Buuren,UPLIFTING TRANCE,2,musical_genre
Armin van Buuren,VOCAL TRANCE,10,musical_genre
David Guetta,ACID HOUSE,3,musical_genre
David Guetta,BIG ROOM,2,musical_genre
David Guetta,DANCE,188,musical_genre
David Guetta,DANCE-POP,41,musical_genre
David Guetta,DAVID GUETTA,2,musical_genre
David Guetta,DEEP HOUSE,8,musical_genre
David Guetta,EDM,13,musical_genre
David Guetta,ELECTRO,46,musical_genre
David Guetta,ELECTRO HOUSE,48,musical_genre
David Guetta,ELECTRO POP,2,musical_genre
David Guetta,ELECTRONIC,159,musical_genre
David Guetta,ELECTRONICA,5,musical_genre
David Guetta,ELECTROPOP,2,musical_genre
David Guetta,EURO HOUSE,4,musical_genre
David Guetta,FUTURE BASS,4,musical_genre
David Guetta,FUTURE BOUNCE,3,musical_genre
David Guetta,HIP HOP,11,musical_genre
David Guetta,HIP HOUSE,2,musical_genre
David Guetta,HOUSE,80,musical_genre
David Guetta,OTHER POP,2,musical_genre
David Guetta,POP,81,musical_genre
David Guetta,POP RAP,6,musical_genre
David Guetta,PROGRESSIVE HOUSE,15,musical_genre
David Guetta,REGGAE,3,musical_genre
David Guetta,RHYTHM BLUES,2,musical_genre
David Guetta,ROCK,2,musical_genre
David Guetta,SYNTH-POP,2,musical_genre
David Guetta,SYNTHWAVE,2,musical_genre
David Guetta,TECH HOUSE,10,musical_genre
David Guetta,TECHNO,2,musical_genre
David Guetta,TODD IN THE SHADOWS,6,musical_genre
David Guetta,TRAP,3,musical_genre
David Guetta,VOCAL,3,musical_genre
David Guetta,WHO S THAT CHICK,2,musical_genre
Hardwell,BIG ROOM HOUSE,12,musical_genre
Hardwell,DANCE,57,musical_genre
Hardwell,DANCE-POP,3,musical_genre
Hardwell,DUBSTEP,1,musical_genre
Hardwell,EDM,2,musical_genre
Hardwell,ELECTRO,1,musical_genre
Hardwell,ELECTRO HOUSE,18,musical_genre
Hardwell,ELECTRONIC,72,musical_genre
Hardwell,ELECTROPOP,2,musical_genre
Hardwell,EUPHORIC HARDSTYLE,3,musical_genre
Hardwell,EURO HOUSE,3,musical_genre
Hardwell,FESTIVAL PROGRESSIVE HOUSE,4,musical_genre
Hardwell,HARD TECHNO,14,musical_genre
Hardwell,HARDSTYLE,22,musical_genre
Hardwell,HOUSE,15,musical_genre
Hardwell,NEDERPOP,4,musical_genre
Hardwell,POP,4,musical_genre
Hardwell,PROGRESSIVE HOUSE,30,musical_genre
Hardwell,PROGRESSIVE TRANCE,2,musical_genre
Hardwell,SMILEY ON COVER,3,musical_genre
Hardwell,SPOKEN WORD,1,musical_genre
Hardwell,TECH HOUSE,2,musical_genre
Hardwell,TECHNO,3,musical_genre
Hardwell,TRIBAL HOUSE,2,musical_genre
